epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9297,1.4586,3.22366,1.70701,0.00486,0.77721,0.278,0.17463,1.16382,3.63072,1.67021,7.145e-05,7.145e-05,7.145e-05
2,69.5396,1.29467,2.87589,1.58446,0.00509,0.79781,0.55919,0.37146,1.10639,3.54666,1.57747,0.000152003,0.000152003,0.000152003
3,102.407,1.40202,2.4723,1.57436,0.0053,0.80601,0.60756,0.39308,1.1752,3.31793,1.60435,0.000226897,0.000226897,0.000226897
4,134.094,1.3606,2.02337,1.56818,0.00546,0.8224,0.58502,0.38755,1.15206,3.1989,1.56364,0.000296132,0.000296132,0.000296132
5,166.058,1.36197,1.87015,1.54422,0.00572,0.83333,0.56921,0.34554,1.24528,3.23776,1.64165,0.000359708,0.000359708,0.000359708
6,197.934,1.30216,1.73859,1.5403,0.97712,0.1078,0.58145,0.34846,1.29692,3.22943,1.74405,0.000417625,0.000417625,0.000417625
7,229.933,1.22894,1.7665,1.47616,1,0.33813,0.68019,0.47694,1.25156,2.85907,1.71291,0.000469884,0.000469884,0.000469884
8,263.371,1.28619,1.65508,1.51496,0.92747,0.51749,0.66694,0.46542,1.29172,2.53543,1.76001,0.000516483,0.000516483,0.000516483
9,288.324,1.17837,1.62316,1.46767,0.73766,0.55083,0.67924,0.46768,1.24839,2.32597,1.68506,0.000557424,0.000557424,0.000557424
10,311.559,1.27854,1.5472,1.46473,0.78885,0.55786,0.67869,0.47784,1.22886,2.30685,1.64853,0.000592706,0.000592706,0.000592706
11,335.204,1.2416,1.47479,1.41172,0.73466,0.56032,0.63733,0.38822,1.32819,2.3712,1.72842,0.00062233,0.00062233,0.00062233
12,359.241,1.31437,1.54929,1.45649,0.71812,0.59732,0.66781,0.41281,1.33351,2.27138,1.77408,0.000646294,0.000646294,0.000646294
13,381.611,1.19028,1.45706,1.41446,0.81131,0.67415,0.74667,0.50433,1.23553,2.17268,1.65214,0.000664599,0.000664599,0.000664599
14,404.414,1.18524,1.45107,1.42877,0.84036,0.58295,0.79081,0.52125,1.23712,2.21271,1.63777,0.000677246,0.000677246,0.000677246
15,427.314,1.1314,1.43445,1.41664,0.84763,0.59919,0.77487,0.50364,1.25827,2.25564,1.63439,0.000684234,0.000684234,0.000684234
16,451.749,1.28551,1.44228,1.44109,0.74751,0.71698,0.79183,0.51719,1.24897,2.02053,1.65075,0.000685563,0.000685563,0.000685563
17,475.677,1.18741,1.37832,1.38737,0.74218,0.70373,0.79885,0.53387,1.21713,1.95057,1.64339,0.000674488,0.000674488,0.000674488
18,499.691,1.27209,1.38658,1.42346,0.78841,0.70131,0.79543,0.52015,1.22745,1.87613,1.61498,0.000627331,0.000627331,0.000627331
19,522.971,1.18182,1.36067,1.3712,0.88046,0.65256,0.80783,0.54592,1.1867,1.84696,1.54924,0.000580174,0.000580174,0.000580174
20,546.038,1.12006,1.30103,1.32165,0.80696,0.79302,0.88451,0.59596,1.13646,1.76659,1.48239,0.000533017,0.000533017,0.000533017
21,569.084,1.15776,1.75974,1.49124,0.81055,0.78835,0.8828,0.59958,1.14082,1.75902,1.5258,0.00048586,0.00048586,0.00048586
22,592.014,1.10091,1.59628,1.41806,0.85558,0.79387,0.88006,0.56507,1.20645,1.72652,1.61213,0.000438703,0.000438703,0.000438703
23,615.85,1.10285,1.59947,1.41389,0.84627,0.81966,0.88088,0.59283,1.1452,1.65676,1.51395,0.000391546,0.000391546,0.000391546
24,639.22,1.0392,1.481,1.35569,0.84849,0.87454,0.90807,0.63745,1.03284,1.54816,1.39288,0.000344389,0.000344389,0.000344389
25,662.955,1.0087,1.53321,1.41203,0.8398,0.88227,0.91058,0.65254,1.0172,1.48411,1.37595,0.000297232,0.000297232,0.000297232
26,685.582,1.00511,1.43467,1.34187,0.93087,0.88088,0.94571,0.67611,1.02663,1.4217,1.41433,0.000250075,0.000250075,0.000250075
27,708.297,1.00899,1.38339,1.3328,0.94676,0.90249,0.95269,0.69204,1.01395,1.41534,1.3929,0.000202918,0.000202918,0.000202918
28,731.172,0.9405,1.37692,1.3028,0.93236,0.91791,0.95656,0.7131,0.95413,1.42109,1.30412,0.000155761,0.000155761,0.000155761
29,754.603,0.93694,1.3554,1.29624,0.92133,0.92839,0.958,0.72192,0.93172,1.40318,1.27785,0.000108604,0.000108604,0.000108604
30,777.418,1.00227,1.3274,1.36353,0.91518,0.93169,0.96072,0.7356,0.89315,1.34622,1.24066,6.1447e-05,6.1447e-05,6.1447e-05
